,Mn,Co,Ni,Fe,Si,Ge,Al,M/NM Ratio,VEC,Weighted Pauling Electronegativity,Weighted Atomic Radius,Weighted Covalent Radius,DiffEN,DiffR,DiffCR,Magnetic Field Change (T),Tpk (K),∆ Sm (J/kgK),Normalized ∆ Sm (J/kgKT)
1,0.625,0,0,0,0,0.375,0,1.66667,5.875,1.7225,2.0725,1.25625,0.222696542,0.014015621,,2,294,3.67,1.835
2,0.62188,0,0.00313,0,0,0.375,0,1.66667,5.88438,1.72363,2.07225,1.255875,0.222731586,0.014274022,,2,290,3.6,1.8
3,0.61875,0,0.00625,0,0,0.375,0,1.66667,5.89375,1.72475,2.072,1.2555,0.222760942,0.014526947,,2,286,3.55,1.775
4,0.61577,0,0.00876,0,0,0.37547,0,1.66333,5.89987,1.72587,2.071827284,1.255156446,0.222832967,0.014729842,,2,282,3.4,1.7
5,0.6125,0,0.0125,0,0,0.375,0,1.66667,5.9125,1.727,2.0715,1.25475,0.222802603,0.015017466,,2,278,3.21,1.605
6,0.60938,0,0.01563,0,0,0.375,0,1.66667,5.92188,1.72813,2.07125,1.254375,0.222814911,0.015255552,,2,272,3.13,1.565
7,0.21333,0,0.21333,0,0,0.24,0,1.77778,4.58667,1.22053,1.364,0.8128,0.523593204,0.409706212,,2,266,2.93,1.465
8,0.21,0,0.21,0,0,0.24667,0,1.7027,4.55667,1.2224,1.364666667,0.8126,0.524247066,0.409709596,,2,264,2.83,1.415
9,0.20667,0,0.20667,0,0,0.25333,0,1.63158,4.52667,1.22427,1.365333333,0.8124,0.524891264,0.4097121,,2,262,2.68,1.34
10,0.20333,0,0.20333,0,0,0.26,0,1.5641,4.49667,1.22613,1.366,0.8122,0.52552583,0.409713726,,2,262,2.41,1.205
11,0.33333,0.33333,0,0,0,0.33333,0,2,6.66667,1.81333,2.053333333,1.223333333,0.193620476,0.021900548,,2,343,3.1,1.55
12,0.33333,0.33333,0,0,0.03333,0.3,0,2,6.66667,1.80967,2.053,1.221333333,0.190883618,0.02171615,,2,350,2.9,1.45
13,0.33333,0.33333,0,0,0.1,0.23333,0,2,6.66667,1.80233,2.052333333,1.217333333,0.185070857,0.021338497,,2,365,2.5,1.25
14,0.33333,0.33333,0,0,0.16667,0.16667,0,2,6.66667,1.795,2.051666667,1.213333333,0.178768938,0.020948492,,2,373,2.1,1.05
15,0.33333,0.33333,0,0,0,0.33333,0,2,6.66667,1.81333,2.053333333,1.223333333,0.193620476,0.021900548,,5,343,4.4,0.88
16,0.33333,0.33333,0,0,0.03333,0.3,0,2,6.66667,1.80967,2.053,1.221333333,0.190883618,0.02171615,,5,350,4.7,0.94
17,0.33333,0.33333,0,0,0.1,0.23333,0,2,6.66667,1.80233,2.052333333,1.217333333,0.185070857,0.021338497,,5,365,5.4,1.08
18,0.33333,0.33333,0,0,0.16667,0.16667,0,2,6.66667,1.795,2.051666667,1.213333333,0.178768938,0.020948492,,5,373,5.8,1.16
19,0.33333,0,0,0.33333,0,0.33333,0,2,6.33333,1.79667,2.066666667,1.243333333,0.189267594,0.014957449,,5,159,0.8,0.16
20,0.33333,0.03333,0,0.3,0,0.33333,0,2,6.36667,1.79833,2.065333333,1.241333333,0.189773257,0.015898787,,5,173,1.5,0.3
21,0.33333,0.06667,0,0.26667,0,0.33333,0,2,6.4,1.8,2.064,1.239333333,0.190262976,0.016764779,,5,209,1.7,0.34
22,0.33333,0.1,0,0.23333,0,0.33333,0,2,6.43333,1.80167,2.062666667,1.237333333,0.190736875,0.017566488,,5,220,2.5,0.5
23,0.33333,0.13333,0,0.2,0,0.33333,0,2,6.46667,1.80333,2.061333333,1.235333333,0.191195072,0.018312274,,5,223,3.2,0.64
24,0.33333,0.16667,0,0.16667,0,0.33333,0,2,6.5,1.805,2.06,1.233333333,0.191637679,0.019008641,,5,228,2.9,0.58
25,0.33333,0.2,0,0.13333,0,0.33333,0,2,6.53333,1.80667,2.058666667,1.231333333,0.192064804,0.019660763,,5,242,4,0.8
26,0.33333,0.23333,0,0.1,0,0.33333,0,2,6.56667,1.80833,2.057333333,1.229333333,0.19247655,0.020272835,,5,249,3,0.6
27,0.33333,0.26667,0,0.06667,0,0.33333,0,2,6.6,1.81,2.056,1.227333333,0.192873015,0.020848311,,5,289,9,1.8
28,0.33333,0.61667,0,0.05,0,0.33333,0,3,9.61667,2.4375,2.722,1.619666667,0.730470739,0.289294033,,5,306,5,1
29,0.33333,0.3,0,0.03333,0,0.33333,0,2,6.63333,1.81167,2.054666667,1.225333333,0.193254294,0.021390071,,5,340,5.8,1.16
30,0.33333,0.33333,0,0,0,0.33333,0,2,6.66667,1.81333,2.053333333,1.223333333,0.193620476,0.021900548,,5,345,6,1.2
31,0.16667,0,0.33333,0.16667,0.31,0,0.02333,2.22581,7.14333,1.82657,2.032266667,1.194,0.133553531,0.029685331,,2,200,23,11.5
32,0.16667,0,0.33333,0.16667,0.31167,0,0.02167,2.20856,7.145,1.82705,2.0327,1.193833333,0.133293401,0.029457379,,2,242,22.5,11.25
33,0.16667,0,0.33333,0.16667,0.31333,0,0.02,2.19149,7.14667,1.82753,2.033133333,1.193666667,0.133031007,0.029226291,,2,268,21,10.5
34,0.16667,0,0.33333,0.16667,0.315,0,0.01833,2.1746,7.14833,1.82802,2.033566667,1.1935,0.132766335,0.028991993,,2,288,20,10
35,0.16667,0,0.33333,0.16667,0.31667,0,0.01667,2.15789,7.15,1.8285,2.034,1.193333333,0.132499371,0.028754408,,2,310,15,7.5
36,0.20667,0.12667,0.33333,0,0.20667,0.12667,0,2,7.25333,1.8424,2.034933333,1.193666667,0.153673593,0.027779873,,5,295,40.3,8.06
37,0.20333,0.13,0.33333,0,0.20333,0.13,0,2,7.26,1.84387,2.0348,1.1935,0.153021945,0.027816291,,5,245,31.7,6.34
38,0.2,0.13333,0.33333,0,0.2,0.13333,0,2,7.26667,1.84533,2.034666667,1.193333333,0.15235339,0.027852517,,5,270,30.5,6.1
39,0.22667,0,0.22667,0.21333,0.22667,0.10667,0,2,6.89333,1.81973,2.047466667,1.208533333,0.153891506,0.02400789,,5,352,47.3,9.46
40,0.22333,0,0.22333,0.22,0.22333,0.11,0,2,6.89,1.82077,2.0477,1.2088,0.153335402,0.02392618,,5,313,54.1,10.82
41,0.22,0,0.22,0.22667,0.22,0.11333,0,2,6.88667,1.8218,2.047933333,1.209066667,0.152770285,0.023843683,,5,285,57.6,11.52
42,0.21667,0,0.21667,0.23333,0.21667,0.11667,0,2,6.88333,1.82283,2.048166667,1.209333333,0.152196054,0.02376039,,5,237,55.2,11.04
43,0.21333,0,0.21333,0.24,0.21333,0.12,0,2,6.88,1.82387,2.0484,1.2096,0.151612606,0.023676295,,5,199,53.5,10.7
44,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,
